url_length,has_ip_address,has_at_symbol,num_dots,num_hyphens,num_subdomains,is_https,has_port,url_depth,has_double_slash_redirect,domain_length,has_suspicious_keywords,path_length,query_length,num_special_chars,tld_in_path,domain_age_days,is_shortened_url,num_digits_in_domain,has_valid_ssl,Result
26,0,0,1,0,0,0,0,1,0,12,0,1,5,2,0,6986,0,0,0,1
37,0,0,2,0,0,0,0,2,0,14,0,16,0,0,0,-1,0,0,0,1
38,0,0,4,0,2,0,0,1,0,23,0,8,0,0,0,-1,0,0,0,1
81,0,0,1,0,0,0,0,5,0,14,0,60,0,0,0,19,0,0,0,1
212,0,0,6,0,0,0,0,9,0,15,0,190,0,0,0,8267,0,0,0,1
29,0,0,1,0,0,0,0,2,0,10,0,12,0,0,0,10286,0,0,0,0
82,0,0,2,0,0,0,0,3,0,23,0,52,0,0,0,346,0,0,0,0
215,0,0,3,0,0,0,0,4,0,15,1,38,154,3,0,-1,0,0,0,1
51,0,0,3,0,0,0,0,3,0,18,0,26,0,0,1,8626,0,0,0,1
34,0,0,2,0,0,0,0,1,0,16,0,11,0,0,0,-1,0,0,0,0
23,0,0,1,0,0,0,0,1,0,15,0,1,0,0,0,-1,0,0,0,0
109,0,0,1,0,0,0,0,3,0,18,1,84,0,0,0,9408,0,0,0,0
66,0,0,3,0,1,0,0,5,0,19,0,40,0,0,0,-1,0,0,0,1
102,0,0,5,0,0,0,0,2,0,11,1,8,75,5,0,-1,0,3,0,1
75,0,0,1,0,0,0,0,4,0,17,0,51,0,0,0,6858,0,0,0,0
36,0,0,3,0,1,0,0,3,0,10,1,19,0,0,0,8801,1,0,0,1
31,0,0,2,0,1,0,0,1,0,23,0,1,0,0,0,7751,0,0,0,1
70,0,0,6,1,0,0,0,4,0,14,0,49,0,0,0,1725,0,0,0,1
50,0,0,3,0,1,0,0,1,0,21,0,17,4,2,0,9527,0,0,0,0
42,0,0,2,0,1,0,0,1,0,34,0,1,0,0,0,9562,0,0,0,0
50,0,0,1,0,0,0,0,3,0,10,0,33,0,0,0,11511,0,0,0,0
89,0,0,3,0,0,0,0,5,0,17,0,65,0,0,0,3917,0,0,0,1
74,0,0,2,0,0,0,0,1,0,27,0,10,29,4,0,9345,0,0,0,0
32,0,0,3,0,2,0,0,1,0,17,0,8,0,0,0,9850,0,1,0,1
72,0,0,1,0,0,0,0,6,0,20,0,45,0,0,0,5948,0,0,0,1
121,0,0,2,0,0,0,0,3,0,9,0,105,0,0,0,-1,0,0,0,0
50,0,0,3,0,2,0,0,3,0,22,0,21,0,0,0,11433,0,0,0,0
58,0,0,2,0,0,0,0,1,0,15,0,36,0,0,0,-1,0,0,0,1
50,0,0,3,0,1,0,0,2,0,17,0,26,0,0,0,9866,0,0,0,0
43,0,0,3,1,2,0,0,1,0,27,0,9,0,0,0,-1,0,0,0,1
42,0,0,2,0,0,0,0,1,0,16,0,10,8,2,0,8794,0,0,0,0
41,0,0,1,0,0,0,0,2,0,14,0,20,0,1,0,-1,0,0,0,1
190,0,0,8,1,7,0,0,8,0,109,1,74,0,0,0,4216,0,34,0,1
38,0,0,1,0,0,0,0,3,0,15,0,16,0,0,0,-1,1,0,0,1
73,0,0,3,0,1,0,0,3,0,14,0,38,13,2,0,10180,0,2,0,1
36,0,0,1,0,0,0,0,1,0,21,0,8,0,0,0,8373,0,0,0,0
58,0,0,2,0,0,0,0,3,0,19,0,32,0,0,0,-1,0,0,0,1
36,0,0,3,0,1,0,0,2,0,20,0,9,0,0,0,11145,0,0,0,0
81,0,0,2,0,0,0,0,3,0,10,0,33,30,4,0,11784,0,0,0,0
34,0,0,2,0,1,0,0,3,0,15,0,12,0,0,0,-1,0,0,0,1
38,0,0,1,0,0,0,0,1,0,11,0,6,13,2,0,7752,0,0,0,0
42,0,0,2,0,0,0,0,2,0,16,0,19,0,0,0,9744,0,0,0,0
53,0,0,3,0,1,0,0,1,0,23,0,14,8,2,0,9267,0,0,0,0
65,0,0,1,1,0,0,0,5,0,28,1,30,0,0,0,-1,0,0,0,1
44,0,0,2,0,1,0,0,2,0,20,0,17,0,0,0,7352,0,0,0,0
60,0,0,2,0,0,0,0,1,0,17,0,25,10,2,0,7059,0,0,0,0
44,0,0,1,0,0,0,0,3,0,13,0,24,0,0,0,6658,0,0,0,0
35,0,0,1,0,0,0,0,4,0,10,0,18,0,0,0,-1,0,0,0,1
79,0,0,4,0,2,0,0,1,0,31,0,9,31,8,0,-1,0,0,0,1
31,1,0,4,0,2,0,0,1,0,12,0,12,0,0,0,6281,0,9,0,1
98,0,0,3,0,0,0,0,2,0,17,0,19,54,6,0,11262,0,0,0,0
62,0,0,5,0,3,0,0,2,0,26,0,29,0,0,0,11014,0,0,0,0
51,0,0,1,0,0,0,0,3,0,12,0,32,0,0,0,10632,0,0,0,0
65,0,0,2,0,1,0,0,2,0,17,0,15,25,2,0,11433,0,0,0,0
41,0,0,2,0,0,0,0,2,0,12,0,22,0,0,0,8417,0,0,0,0
51,0,0,1,0,0,0,0,3,0,13,0,31,0,0,0,8551,0,0,0,0
47,0,0,1,0,0,0,0,3,0,11,0,29,0,0,0,11476,0,0,0,0
32,0,0,2,0,1,0,0,4,0,13,0,12,0,0,0,-1,0,0,0,1
42,0,0,1,0,0,0,0,3,0,17,0,18,0,0,0,3821,0,0,0,1
34,0,0,1,0,0,0,0,1,0,19,0,8,0,0,0,-1,0,0,0,1
45,0,0,2,0,0,0,0,3,1,21,0,17,0,0,0,9640,0,0,0,1
48,0,0,2,0,0,0,0,3,0,15,0,26,0,0,0,6441,0,0,0,1
63,0,0,2,0,0,0,0,2,0,25,0,31,0,0,0,10110,0,0,0,0
126,0,1,3,0,0,0,0,5,0,15,0,31,72,5,0,-1,0,0,0,1
96,0,0,1,0,0,0,0,2,0,10,0,79,0,0,0,9556,0,0,0,0
34,0,0,2,2,1,0,0,1,0,26,0,1,0,0,0,-1,0,1,0,1
80,0,0,3,0,1,0,0,3,0,26,0,47,0,0,0,-1,1,0,0,0
100,0,0,3,0,0,0,0,2,0,12,0,20,60,4,0,-1,0,0,0,1
26,0,0,1,0,0,0,0,1,0,12,0,7,0,0,0,10632,0,0,0,0
31,0,0,1,0,0,0,0,3,0,8,0,16,0,0,0,11081,0,0,0,0
38,0,0,1,0,0,0,0,1,0,11,0,6,13,2,0,7752,0,0,0,0
143,0,0,8,0,4,0,0,4,0,31,0,78,26,3,1,-1,0,1,0,1
45,0,0,2,0,0,0,0,4,0,12,0,26,0,0,0,6212,0,0,0,1
65,0,0,2,0,1,0,0,4,0,18,0,40,0,0,0,11798,0,0,0,0
28,0,0,2,0,0,0,0,1,0,12,0,9,0,0,0,-1,0,0,0,1
89,0,0,6,1,5,0,0,3,0,55,1,27,0,0,0,-1,0,0,0,1
47,0,0,2,0,1,0,0,3,0,23,0,17,0,0,0,-1,0,0,0,1
32,0,0,3,0,2,0,0,2,0,16,0,9,0,0,0,11057,0,0,0,0
28,0,0,1,0,0,0,0,1,0,20,0,1,0,0,0,-1,0,0,0,0
29,0,0,3,0,1,0,0,1,0,14,0,8,0,0,0,-1,0,0,0,1
36,0,0,1,0,0,0,0,3,0,18,0,11,0,0,0,-1,0,0,0,1
72,0,0,1,0,0,0,0,4,0,13,0,52,0,0,0,1047,0,0,0,1
35,0,0,2,0,0,0,0,2,0,10,0,18,0,0,0,-1,0,0,0,1
49,0,0,1,0,0,0,0,1,0,22,0,1,18,2,0,-1,0,0,0,0
100,0,0,7,0,6,0,0,1,0,60,0,33,0,0,0,-1,0,6,0,1
136,0,0,3,0,0,0,0,2,0,16,0,21,91,9,0,-1,0,0,0,1
51,0,0,3,0,1,0,0,2,0,18,0,26,0,0,0,9990,0,0,0,0
66,0,0,2,0,0,0,0,1,0,10,0,49,0,0,0,10027,0,0,0,0
61,0,0,2,0,0,0,0,2,0,21,0,7,25,2,0,-1,0,0,0,1
102,0,0,7,1,4,0,0,5,0,39,1,21,34,4,0,-1,0,11,0,1
126,0,0,8,4,3,0,0,1,0,41,1,23,54,3,0,-1,0,0,0,1
46,0,0,2,0,1,0,0,2,0,24,0,15,0,0,0,6801,0,0,0,1
121,0,0,2,0,1,0,0,1,0,35,0,79,0,1,0,80,0,0,0,1
41,0,0,1,0,0,0,0,3,0,6,0,20,7,2,0,7672,0,0,0,0
58,0,0,1,0,0,0,0,3,0,12,0,39,0,0,0,10632,0,0,0,0
31,0,0,1,0,0,0,0,1,0,23,0,1,0,0,0,-1,0,0,0,0
24,0,0,1,0,0,0,0,1,0,9,0,8,0,0,0,7814,0,0,0,0
42,0,0,3,0,2,0,0,1,0,26,0,9,0,0,0,9850,0,4,0,1
33,0,0,4,0,2,0,0,1,0,16,0,10,0,0,0,7951,0,0,0,0
56,0,0,3,0,1,0,0,1,0,16,0,12,20,4,0,8745,0,0,0,0
81,0,0,2,0,0,0,0,1,0,23,0,51,0,0,0,-1,0,0,0,0
31,0,0,1,0,0,0,0,1,0,16,0,8,0,0,0,5068,0,0,0,1
27,0,0,1,0,0,0,0,1,0,11,0,9,0,0,0,11033,0,0,0,0
64,0,0,2,0,1,0,0,2,0,23,0,34,0,0,0,-1,0,0,0,1
47,0,0,3,0,1,0,0,2,0,14,0,26,0,0,0,-1,0,0,0,1
28,0,0,1,0,0,0,0,2,0,14,0,7,0,0,0,7022,0,0,0,0
99,0,0,6,0,1,0,0,2,0,12,1,8,71,5,0,7780,0,2,0,1
65,0,0,2,0,0,0,0,5,0,11,0,47,0,0,0,11309,0,0,0,0
69,0,0,2,0,1,0,0,4,0,16,0,46,0,0,0,-1,0,0,0,1
21,0,0,2,0,1,0,0,1,0,13,0,1,0,0,0,3625,0,0,0,1
36,0,0,2,1,0,0,0,1,0,16,0,13,0,0,0,5370,0,0,0,0
96,0,0,4,0,0,0,0,3,0,16,1,64,8,2,0,1842,0,0,0,1
38,0,0,1,0,0,0,0,1,0,11,0,6,13,2,0,7752,0,0,0,0
249,0,0,4,0,1,0,0,1,0,28,0,1,212,12,0,-1,0,0,0,1
36,0,0,1,3,0,0,0,1,0,28,0,1,0,0,0,-1,0,0,0,0
39,0,0,3,0,2,0,0,3,0,19,0,13,0,0,0,9348,0,0,0,0
46,0,0,3,0,1,0,0,2,0,15,0,24,0,0,0,8809,0,0,0,0
39,0,0,1,0,0,0,0,3,0,8,0,24,0,0,0,9658,0,0,0,0
49,0,0,1,0,0,0,0,5,0,12,0,30,0,0,0,8588,0,0,0,0
52,0,0,1,0,0,0,0,8,0,11,0,34,0,0,0,5378,0,0,0,1
28,0,0,1,1,0,0,0,0,0,21,0,0,0,0,0,-1,0,2,0,1
63,0,0,1,0,0,0,0,5,0,14,0,42,0,0,0,7187,0,0,0,0
125,0,0,2,0,0,0,0,2,0,13,0,26,78,3,0,-1,0,0,0,1
41,0,0,2,0,0,0,0,2,0,14,0,20,0,0,0,792,0,0,0,1
51,0,0,2,0,1,0,0,3,0,17,0,27,0,0,0,12013,0,0,0,0
27,0,0,3,0,2,0,0,1,0,19,0,1,0,0,0,9850,0,1,0,0
75,0,0,2,0,1,0,0,6,0,14,0,54,0,0,0,11369,0,0,0,0
30,0,0,2,0,0,0,0,2,0,9,0,14,0,0,0,10319,0,0,0,1
35,0,0,1,0,0,0,0,4,0,9,0,19,0,0,0,10742,0,0,0,0
227,0,0,4,0,1,0,0,3,0,37,0,36,146,6,0,9200,0,20,0,1
50,0,0,3,0,1,0,0,1,0,21,0,12,9,2,0,9472,0,0,0,0
40,0,0,2,0,0,0,0,2,0,13,0,20,0,0,0,6311,0,0,0,1
48,0,0,2,0,1,0,0,2,0,16,0,25,0,0,0,9246,0,0,0,0
31,0,0,1,0,0,0,0,3,0,8,0,16,0,0,0,11081,0,0,0,0
51,0,0,3,0,0,0,0,2,0,11,0,33,0,0,1,-1,0,1,0,1
50,0,0,1,0,0,0,0,3,0,12,0,31,0,0,0,10632,0,0,0,0
54,0,0,3,0,2,0,0,3,0,27,0,20,0,0,0,6416,0,0,0,1
63,0,0,2,0,1,0,0,1,0,28,0,28,0,0,0,6179,0,0,0,1
61,0,0,2,1,0,0,0,5,0,17,0,37,0,1,0,6627,0,0,0,0
28,0,0,1,0,0,0,0,1,0,20,0,1,0,0,0,-1,0,0,0,1
37,0,0,2,0,0,0,0,1,0,19,0,11,0,0,0,5758,0,0,0,0
48,0,0,2,0,0,0,0,2,0,9,0,23,8,2,0,8880,0,0,0,0
41,0,0,2,0,1,0,0,3,0,15,0,19,0,0,0,11433,0,0,0,0
26,0,0,1,0,0,0,0,1,0,18,0,1,0,0,0,10579,0,0,0,0
47,0,0,3,0,1,0,0,1,0,29,0,11,0,0,0,9230,1,0,0,0
49,0,0,2,0,1,0,0,5,0,15,0,27,0,0,0,8588,0,0,0,0
43,0,0,2,0,0,0,0,1,0,23,0,13,0,0,0,-1,0,0,0,0
18,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,-1,0,4,0,1
31,1,0,4,0,2,0,0,1,0,13,0,11,0,0,0,1272,0,10,0,1
33,1,0,4,0,2,0,0,1,0,14,0,12,0,0,0,1750,0,11,0,1
61,0,0,1,0,0,0,0,3,0,12,0,42,0,0,0,10632,0,0,0,0
93,0,0,3,0,1,0,0,3,0,18,0,68,0,0,0,9919,1,0,0,0
48,0,0,2,0,0,0,0,2,0,18,0,12,10,2,0,7947,0,0,0,0
87,0,0,2,0,1,0,0,1,0,29,0,51,0,0,0,-1,0,2,0,1
86,0,0,6,0,5,0,0,1,0,45,1,5,28,4,0,-1,0,0,0,1
32,0,0,1,0,0,0,0,2,0,17,0,8,0,0,0,-1,0,0,0,1
35,0,0,1,0,0,0,0,4,0,11,0,17,0,0,0,-1,0,0,0,1
29,0,0,1,0,0,0,0,1,0,21,0,1,0,0,0,526,0,2,0,0
86,0,0,1,0,0,0,0,3,0,16,0,63,0,0,0,6485,0,0,0,0
168,0,0,7,0,1,0,0,8,0,16,1,98,46,2,1,1752,0,0,0,1
47,0,0,1,0,0,0,0,5,0,12,0,28,0,0,0,8588,0,0,0,0
73,0,0,1,0,0,0,0,4,0,16,0,50,0,0,0,9597,0,0,0,0
36,0,0,2,0,1,0,0,1,0,28,0,1,0,0,0,-1,1,2,0,1
114,0,0,2,0,0,0,0,2,0,12,0,27,67,3,0,-1,0,0,0,1
25,0,0,1,0,0,0,0,1,0,7,0,11,0,0,0,7362,0,0,0,1
56,0,0,4,0,0,0,0,2,0,14,0,35,0,0,0,-1,0,0,0,1
142,0,0,4,0,2,0,0,4,0,16,1,30,88,4,0,7319,0,0,0,1
68,0,0,3,0,1,0,0,2,0,15,0,13,32,4,0,6394,0,0,0,0
112,0,0,2,0,0,0,0,5,0,11,0,94,0,0,0,11798,0,0,0,0
37,0,0,2,0,1,0,0,2,0,17,0,13,0,0,0,12027,0,0,0,0
36,0,0,3,0,0,0,0,2,0,14,0,15,0,0,0,-1,0,0,0,1
47,0,0,3,0,1,0,0,3,0,18,0,22,0,0,0,8717,0,0,0,1
50,0,0,2,0,0,0,0,2,0,22,0,21,0,0,0,-1,0,0,0,1
62,0,0,3,0,1,0,0,2,0,10,0,45,0,0,0,10872,0,0,0,0
34,0,0,2,0,0,0,0,1,0,15,0,12,0,0,0,6875,0,0,0,0
37,0,0,2,0,1,0,0,1,0,21,0,9,0,0,0,-1,0,0,0,1
105,0,0,8,0,1,0,0,5,0,12,0,59,26,5,1,-1,0,0,0,1
59,0,0,3,0,1,0,0,2,0,21,0,20,10,2,0,10195,0,0,0,0
29,0,0,2,1,1,0,0,1,0,21,0,1,0,0,0,-1,1,0,0,1
37,0,0,1,0,0,0,0,2,0,10,0,20,0,0,0,8260,0,0,0,0
214,0,0,3,1,1,0,0,5,0,25,0,60,121,27,0,7962,0,0,0,1
38,0,0,2,0,0,0,0,1,0,9,0,14,7,2,0,7950,0,0,0,0
115,0,0,2,0,1,0,0,5,0,16,0,77,14,2,0,11433,0,0,0,0
82,0,0,1,0,0,0,0,2,0,15,0,60,0,0,0,7723,0,0,0,0
216,0,0,11,1,9,0,0,2,0,116,1,93,0,0,0,-1,0,9,0,1
50,0,0,2,0,0,0,0,4,0,16,0,27,0,0,0,129,0,0,0,1
201,0,0,2,0,0,0,0,4,0,11,1,30,152,4,0,20,0,0,0,1
19,0,0,1,0,0,0,0,1,0,11,0,1,0,0,0,5749,0,0,0,0
44,0,0,2,0,1,0,0,3,0,19,0,18,0,0,0,9170,0,0,0,0
72,0,0,2,0,0,0,0,4,0,21,0,44,0,0,0,4628,0,0,0,1
28,0,0,2,0,1,0,0,1,0,20,0,1,0,0,0,5772,0,0,0,0
31,0,0,2,0,0,0,0,2,0,12,0,12,0,0,0,-1,0,0,0,1
75,0,0,1,0,0,0,0,5,0,15,0,53,0,0,0,-1,0,0,0,1
50,0,0,2,0,0,0,0,2,0,13,0,30,0,0,0,11281,0,0,0,0
42,0,0,1,0,0,0,0,1,0,11,0,8,15,2,0,-1,0,0,0,1
30,1,0,4,0,2,0,0,1,0,12,0,11,0,0,0,9370,0,9,0,1
86,0,0,3,0,2,0,0,6,0,29,0,50,0,0,0,-1,0,0,0,1
16,0,0,1,0,0,0,0,1,0,8,0,1,0,0,0,-1,0,0,0,0
22,0,0,2,0,0,0,0,2,0,10,0,5,0,0,0,-1,0,0,0,1
72,0,0,2,0,1,0,0,4,0,11,0,54,0,0,0,-1,0,0,0,1
18,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,-1,0,4,0,1
83,0,0,1,0,0,0,0,4,0,17,0,59,0,0,0,9845,0,0,0,1
48,0,0,2,0,0,0,0,2,0,16,0,25,0,0,0,508,0,0,0,0
370,0,0,3,4,1,0,0,3,0,45,1,34,283,9,0,9200,0,11,0,1
48,0,0,2,0,0,0,0,3,0,20,0,21,0,0,0,2575,0,0,0,1
40,0,0,2,0,1,0,0,1,0,22,0,11,0,0,0,9814,0,4,0,1
58,0,0,1,0,0,0,0,2,0,15,0,36,0,0,0,292,0,0,0,0
27,0,0,2,0,1,0,0,1,0,12,0,8,0,0,0,-1,0,0,0,1
39,0,0,1,0,0,0,0,4,0,11,0,21,0,0,0,9891,0,0,0,0
56,0,0,2,0,0,0,0,2,0,12,0,37,0,0,0,8240,0,0,0,0
25,0,0,1,0,0,0,0,1,0,9,0,9,0,0,0,-1,0,0,0,1
48,0,0,2,0,0,0,0,2,0,20,0,21,0,0,0,-1,0,0,0,1
78,0,0,5,1,1,0,0,2,0,17,0,17,36,2,0,2970,1,0,0,1
57,0,0,1,0,0,0,0,3,0,10,0,40,0,0,0,11511,0,0,0,0
52,0,0,2,0,1,0,0,2,0,30,0,15,0,0,0,10168,0,0,0,0
21,0,0,1,0,0,0,0,1,0,13,0,1,0,0,0,353,0,0,0,0
37,0,0,2,1,0,0,0,1,0,18,0,12,0,0,0,-1,0,0,0,0
42,0,0,1,0,0,0,0,3,0,12,0,23,0,0,0,8253,0,0,0,0
39,0,0,3,0,1,0,0,2,0,18,0,14,0,0,0,4818,0,0,0,1
32,0,0,1,0,0,0,0,1,0,19,0,6,0,0,0,-1,0,0,0,1
202,0,0,2,0,0,0,0,2,0,23,0,18,153,4,0,6080,0,0,0,1
32,0,0,2,0,0,0,0,1,0,17,0,8,0,0,0,9075,0,0,0,0
106,0,0,2,0,1,0,0,6,0,16,1,30,52,2,0,-1,0,0,0,1
28,0,0,1,0,0,0,0,1,0,20,0,1,0,0,0,-1,0,0,0,0
25,0,0,1,0,0,0,0,1,0,17,0,1,0,0,0,10909,0,0,0,0
46,0,0,1,0,0,0,0,3,0,9,0,30,0,0,0,8156,0,0,0,0
32,0,0,2,0,0,0,0,1,0,12,0,13,0,0,0,10632,0,0,0,0
100,0,0,6,0,1,0,0,3,0,13,1,8,71,5,0,540,0,0,0,1
113,0,0,3,0,1,0,0,2,0,16,1,19,70,2,0,-1,0,0,0,1
84,0,0,2,0,1,0,0,2,0,16,0,61,0,4,0,9246,0,0,0,0
99,0,0,2,1,0,0,0,2,0,20,0,72,0,0,0,-1,1,0,0,1
50,0,0,1,0,0,0,0,1,0,16,0,12,14,2,0,5068,0,0,0,1
46,0,0,1,0,0,0,0,1,0,31,0,8,0,0,0,4469,0,0,0,1
56,0,0,1,0,0,0,0,2,0,19,0,30,0,0,0,8247,0,0,0,0
29,1,0,3,0,2,0,0,1,0,14,0,8,0,0,0,-1,0,11,0,1
66,0,0,2,0,0,0,0,3,0,20,0,39,0,0,0,3634,0,0,0,1
65,0,0,1,0,0,0,0,3,0,10,0,48,0,0,0,11511,0,0,0,0
201,0,0,24,0,23,0,0,2,0,160,1,34,0,0,0,-1,0,17,0,1
25,0,0,1,0,0,0,0,1,0,17,0,1,0,0,0,9122,0,0,0,0
35,0,0,2,1,1,0,0,1,0,27,0,1,0,0,0,-1,0,0,0,1
46,0,0,1,0,0,0,0,4,0,13,0,26,0,0,0,11578,0,0,0,0
76,0,0,6,0,1,0,0,2,0,11,1,4,53,3,0,2995,0,0,0,1
76,0,0,3,0,1,0,0,4,0,23,0,34,11,2,0,7105,0,0,0,0
35,0,0,1,0,0,0,0,1,0,19,0,9,0,0,0,-1,0,0,0,1
26,0,0,1,0,0,0,0,1,0,18,0,1,0,0,0,5611,0,0,0,1
117,0,0,4,0,2,0,0,3,0,20,0,90,0,0,0,3655,0,0,0,1
40,0,0,2,0,1,0,0,2,0,16,0,17,0,0,0,9246,0,0,0,0
54,0,0,2,0,0,0,0,2,0,8,0,11,27,2,0,11235,0,0,0,0
51,0,0,2,0,1,0,0,2,0,16,0,28,0,0,0,9246,0,0,0,0
31,0,0,2,0,1,0,0,2,0,16,0,8,0,0,0,-1,0,0,0,1
31,0,0,1,0,0,0,0,1,0,12,1,12,0,0,0,-1,0,0,0,1
94,0,0,3,0,1,0,0,5,0,23,0,64,0,0,0,10549,0,0,0,0
40,0,0,3,0,1,0,0,1,0,23,0,10,0,0,0,-1,0,2,0,1
46,0,0,2,0,0,0,0,2,0,18,0,21,0,0,0,-1,0,0,0,1
44,0,0,2,0,0,0,0,1,0,24,0,13,0,0,0,-1,0,0,0,1
29,0,0,1,0,0,0,0,1,0,19,0,3,0,0,0,-1,0,0,0,1
92,0,0,1,0,0,0,0,4,0,12,0,73,0,0,0,10334,0,0,0,0
32,0,0,2,0,1,0,0,3,0,11,0,14,0,0,0,-1,0,0,0,0
65,0,0,1,0,0,0,0,2,0,15,0,43,0,0,0,7723,0,0,0,0
35,0,0,2,0,0,0,0,1,0,12,0,16,0,0,0,10632,0,0,0,0
63,0,0,1,0,0,0,0,2,0,22,0,34,0,0,0,-1,0,0,0,1
28,0,0,1,0,0,0,0,1,0,14,0,7,0,0,0,1617,0,0,0,0
44,0,0,2,0,1,0,0,4,0,17,0,20,0,0,0,9003,0,0,0,1
29,0,0,1,0,0,0,0,1,0,21,0,1,0,0,0,-1,0,0,0,0
36,0,0,1,0,0,0,0,1,0,18,0,11,0,0,0,9902,0,0,0,1
38,0,0,2,0,0,0,0,2,0,13,0,18,0,0,0,9878,0,0,0,0
61,0,0,4,0,1,0,0,2,0,22,0,32,0,0,0,-1,0,1,0,1
